subject_id,trial_condition,trial_cue,trial_corr_resp,trial_shift,resp_corr,resp_rt,resp_value,mean_rt,sd_rt,exclude_thresh,exclude_trial,exclude_part
118,shape,shape,right,0,1,0.5424888,right,0.79939122,0.35898990155623955,2,0,0
118,shape,shape,left,0,1,0.5518688,left,0.79939122,0.35898990155623955,2,0,0
118,shape,shape,left,0,1,0.679866,left,0.79939122,0.35898990155623955,2,0,0
118,shape,shape,right,0,1,0.5837787,right,0.79939122,0.35898990155623955,2,0,0
118,shape,shape,right,0,1,0.6799609,right,0.79939122,0.35898990155623955,2,0,0
118,shape,shape,right,0,1,0.7438599,right,0.79939122,0.35898990155623955,2,0,0
118,shape,shape,right,0,1,0.7118802,right,0.79939122,0.35898990155623955,2,0,0
118,shape,shape,left,0,1,0.6477835,left,0.79939122,0.35898990155623955,2,0,0
118,shape,shape,left,0,1,0.9199043,left,0.79939122,0.35898990155623955,2,0,0
118,shape,shape,right,0,1,2.1357883,right,0.79939122,0.35898990155623955,2,1,0
118,shape,shape,right,0,1,0.9679464,right,0.79939122,0.35898990155623955,2,0,0
118,shape,shape,right,0,1,0.5197671,right,0.79939122,0.35898990155623955,2,0,0
118,shape,shape,left,0,1,0.5519427,left,0.79939122,0.35898990155623955,2,0,0
118,shape,shape,left,0,1,0.5838036,left,0.79939122,0.35898990155623955,2,0,0
118,shape,shape,right,0,1,0.8079403,right,0.79939122,0.35898990155623955,2,0,0
118,shape,shape,left,0,1,0.6798824,left,0.79939122,0.35898990155623955,2,0,0
118,shape,shape,right,0,1,0.8078336,right,0.79939122,0.35898990155623955,2,0,0
118,shape,shape,left,0,1,0.9838398,left,0.79939122,0.35898990155623955,2,0,0
118,shape,shape,left,0,1,0.7118982,left,0.79939122,0.35898990155623955,2,0,0
118,shape,shape,left,0,1,1.1757909,left,0.79939122,0.35898990155623955,2,0,0
118,color,color,left,0,1,1.0319026,left,0.658256615,0.134520006485861,2,0,0
118,color,color,right,0,1,0.5518632,right,0.658256615,0.134520006485861,2,0,0
118,color,color,right,0,1,0.6637466,right,0.658256615,0.134520006485861,2,0,0
118,color,color,left,0,1,0.6159666,left,0.658256615,0.134520006485861,2,0,0
118,color,color,right,0,1,0.5517655,right,0.658256615,0.134520006485861,2,0,0
118,color,color,right,0,1,0.6478825,right,0.658256615,0.134520006485861,2,0,0
118,color,color,left,0,1,0.6959057,left,0.658256615,0.134520006485861,2,0,0
118,color,color,right,0,1,0.5997771,right,0.658256615,0.134520006485861,2,0,0
118,color,color,left,0,1,0.5679138,left,0.658256615,0.134520006485861,2,0,0
118,color,color,left,0,1,0.7119008,left,0.658256615,0.134520006485861,2,0,0
118,color,color,left,0,1,0.5198728,left,0.658256615,0.134520006485861,2,0,0
118,color,color,right,0,1,0.6798536,right,0.658256615,0.134520006485861,2,0,0
118,color,color,right,0,1,0.7758033,right,0.658256615,0.134520006485861,2,0,0
118,color,color,left,0,1,0.6638606,left,0.658256615,0.134520006485861,2,0,0
118,color,color,left,0,1,0.8399367,left,0.658256615,0.134520006485861,2,0,0
118,color,color,left,0,1,0.5037239,left,0.658256615,0.134520006485861,2,0,0
118,color,color,right,0,1,0.6639152,right,0.658256615,0.134520006485861,2,0,0
118,color,color,right,0,1,0.5518864,right,0.658256615,0.134520006485861,2,0,0
118,color,color,left,0,1,0.8398687,left,0.658256615,0.134520006485861,2,0,0
118,color,color,right,0,1,0.4877867,right,0.658256615,0.134520006485861,2,0,0
118,shift,shape,right,1,1,0.8559318,right,0.8761089046875,0.3562371533906112,6.4,0,0
118,shift,shape,right,0,1,0.7278854,right,0.8761089046875,0.3562371533906112,6.4,0,0
118,shift,color,right,1,1,0.7761572,right,0.8761089046875,0.3562371533906112,6.4,0,0
118,shift,color,right,0,1,0.8075452,right,0.8761089046875,0.3562371533906112,6.4,0,0
118,shift,shape,right,1,1,1.3517726,right,0.8761089046875,0.3562371533906112,6.4,0,0
118,shift,color,left,1,1,0.7278554,left,0.8761089046875,0.3562371533906112,6.4,0,0
118,shift,color,left,0,1,0.5998837,left,0.8761089046875,0.3562371533906112,6.4,0,0
118,shift,color,right,0,1,0.5838843,right,0.8761089046875,0.3562371533906112,6.4,0,0
118,shift,shape,left,1,1,0.8238635,left,0.8761089046875,0.3562371533906112,6.4,0,0
118,shift,shape,right,0,1,1.0958454,right,0.8761089046875,0.3562371533906112,6.4,0,0
118,shift,color,left,1,1,0.6477984,left,0.8761089046875,0.3562371533906112,6.4,0,0
118,shift,shape,right,1,1,0.8402842,right,0.8761089046875,0.3562371533906112,6.4,0,0
118,shift,shape,right,0,1,0.5834748,right,0.8761089046875,0.3562371533906112,6.4,0,0
118,shift,color,left,1,1,0.5358381,left,0.8761089046875,0.3562371533906112,6.4,0,0
118,shift,shape,left,1,1,0.5198622,left,0.8761089046875,0.3562371533906112,6.4,0,0
118,shift,color,right,1,1,0.8559012,right,0.8761089046875,0.3562371533906112,6.4,0,0
118,shift,shape,right,1,1,1.3358605,right,0.8761089046875,0.3562371533906112,6.4,0,0
118,shift,shape,left,0,1,0.7118499,left,0.8761089046875,0.3562371533906112,6.4,0,0
118,shift,shape,left,0,1,0.5998655,left,0.8761089046875,0.3562371533906112,6.4,0,0
118,shift,shape,left,0,1,0.6957957,left,0.8761089046875,0.3562371533906112,6.4,0,0
118,shift,color,right,1,1,0.8719093,right,0.8761089046875,0.3562371533906112,6.4,0,0
118,shift,color,left,0,1,0.6158455,left,0.8761089046875,0.3562371533906112,6.4,0,0
118,shift,color,right,0,1,0.8558434,right,0.8761089046875,0.3562371533906112,6.4,0,0
118,shift,shape,left,1,1,0.8558428,left,0.8761089046875,0.3562371533906112,6.4,0,0
118,shift,color,right,1,1,0.7919211,right,0.8761089046875,0.3562371533906112,6.4,0,0
118,shift,color,right,0,1,0.5519107,right,0.8761089046875,0.3562371533906112,6.4,0,0
